"Arthur J. Gallagher",141.20,"2021-07-30 09:45:02"
"Arthur J. Gallagher",139.86,"2021-07-30 11:00:02"
"Arthur J. Gallagher",139.71,"2021-07-30 12:00:03"
"Arthur J. Gallagher",140.13,"2021-07-30 13:00:02"
"Arthur J. Gallagher",140.15,"2021-07-30 14:00:02"
"Arthur J. Gallagher",139.75,"2021-07-30 15:00:03"
"Arthur J. Gallagher",139.35,"2021-07-30 15:45:02"
"Arthur J. Gallagher",139.31,"2021-07-30 16:15:02"
"Arthur J. Gallagher",140.82,"2021-08-02 09:45:03"
"Arthur J. Gallagher",140.60,"2021-08-02 11:00:02"
"Arthur J. Gallagher",140.13,"2021-08-02 12:00:03"
"Arthur J. Gallagher",139.29,"2021-08-02 13:00:02"
"Arthur J. Gallagher",139.08,"2021-08-02 14:00:02"
"Arthur J. Gallagher",139.25,"2021-08-02 15:00:01"
"Arthur J. Gallagher",139.58,"2021-08-02 15:45:03"
"Arthur J. Gallagher",139.18,"2021-08-02 16:15:02"
"Arthur J. Gallagher",138.90,"2021-08-03 09:45:02"
"Arthur J. Gallagher",139.50,"2021-08-03 11:00:02"
"Arthur J. Gallagher",139.60,"2021-08-03 12:00:03"
"Arthur J. Gallagher",139.39,"2021-08-03 13:00:02"
"Arthur J. Gallagher",138.69,"2021-08-03 14:00:02"
"Arthur J. Gallagher",138.68,"2021-08-03 15:00:03"
"Arthur J. Gallagher",138.58,"2021-08-03 15:45:02"
"Arthur J. Gallagher",138.55,"2021-08-03 16:15:02"
"Arthur J. Gallagher",138.07,"2021-08-04 09:45:02"
"Arthur J. Gallagher",138.73,"2021-08-04 11:00:02"
"Arthur J. Gallagher",137.83,"2021-08-04 12:00:03"
"Arthur J. Gallagher",137.53,"2021-08-04 13:00:03"
"Arthur J. Gallagher",137.51,"2021-08-04 14:00:02"
"Arthur J. Gallagher",137.24,"2021-08-04 15:00:02"
"Arthur J. Gallagher",137.43,"2021-08-04 15:45:01"
"Arthur J. Gallagher",136.95,"2021-08-04 16:15:03"
"Arthur J. Gallagher",137.94,"2021-08-05 09:45:02"
"Arthur J. Gallagher",138.53,"2021-08-05 11:00:04"
"Arthur J. Gallagher",138.10,"2021-08-05 12:00:02"
"Arthur J. Gallagher",137.37,"2021-08-05 13:00:02"
"Arthur J. Gallagher",137.64,"2021-08-05 14:00:02"
"Arthur J. Gallagher",137.82,"2021-08-05 15:00:02"
"Arthur J. Gallagher",138.26,"2021-08-05 15:45:03"
"Arthur J. Gallagher",138.62,"2021-08-05 16:15:02"
"Arthur J. Gallagher",139.51,"2021-08-06 09:45:02"
"Arthur J. Gallagher",138.46,"2021-08-06 11:00:03"
"Arthur J. Gallagher",138.78,"2021-08-06 12:00:02"
"Arthur J. Gallagher",138.93,"2021-08-06 13:00:02"
"Arthur J. Gallagher",138.75,"2021-08-06 14:00:02"
"Arthur J. Gallagher",138.71,"2021-08-06 15:00:02"
"Arthur J. Gallagher",138.85,"2021-08-06 15:45:03"
"Arthur J. Gallagher",139.06,"2021-08-06 16:15:04"
"Arthur J. Gallagher",138.86,"2021-08-09 09:45:02"
"Arthur J. Gallagher",139.30,"2021-08-09 11:00:02"
"Arthur J. Gallagher",138.89,"2021-08-09 12:00:02"
"Arthur J. Gallagher",139.69,"2021-08-09 13:00:02"
"Arthur J. Gallagher",140.05,"2021-08-09 14:00:03"
"Arthur J. Gallagher",139.97,"2021-08-09 15:00:03"
"Arthur J. Gallagher",140.12,"2021-08-09 15:45:03"
"Arthur J. Gallagher",140.31,"2021-08-09 16:15:03"
"Arthur J. Gallagher",140.62,"2021-08-10 09:45:02"
"Arthur J. Gallagher",140.48,"2021-08-10 11:00:03"
"Arthur J. Gallagher",140.85,"2021-08-10 12:00:03"
"Arthur J. Gallagher",140.67,"2021-08-10 13:00:03"
"Arthur J. Gallagher",140.67,"2021-08-10 14:00:04"
"Arthur J. Gallagher",140.77,"2021-08-10 15:00:02"
"Arthur J. Gallagher",140.76,"2021-08-10 15:45:02"
"Arthur J. Gallagher",140.88,"2021-08-10 16:15:03"
"Arthur J. Gallagher",141.71,"2021-08-11 09:45:02"
"Arthur J. Gallagher",142.93,"2021-08-11 11:00:03"
"Arthur J. Gallagher",142.44,"2021-08-11 12:00:02"
"Arthur J. Gallagher",142.38,"2021-08-11 13:00:02"
"Arthur J. Gallagher",142.31,"2021-08-11 14:00:03"
"Arthur J. Gallagher",141.99,"2021-08-11 15:00:02"
"Arthur J. Gallagher",142.11,"2021-08-11 15:45:03"
"Arthur J. Gallagher",142.28,"2021-08-11 16:15:02"
"Arthur J. Gallagher",142.65,"2021-08-12 09:45:03"
"Arthur J. Gallagher",141.32,"2021-08-12 11:00:03"
"Arthur J. Gallagher",141.25,"2021-08-12 12:00:03"
"Arthur J. Gallagher",141.94,"2021-08-12 13:00:03"
"Arthur J. Gallagher",141.89,"2021-08-12 14:00:02"
"Arthur J. Gallagher",141.54,"2021-08-12 15:00:02"
"Arthur J. Gallagher",141.68,"2021-08-12 15:45:03"
"Arthur J. Gallagher",141.52,"2021-08-12 16:15:03"
"Arthur J. Gallagher",141.42,"2021-08-13 09:45:02"
"Arthur J. Gallagher",141.24,"2021-08-13 11:00:02"
"Arthur J. Gallagher",140.93,"2021-08-13 12:00:02"
"Arthur J. Gallagher",140.96,"2021-08-13 13:00:03"
"Arthur J. Gallagher",140.74,"2021-08-13 14:00:03"
"Arthur J. Gallagher",140.74,"2021-08-13 15:00:03"
"Arthur J. Gallagher",140.81,"2021-08-13 15:45:02"
"Arthur J. Gallagher",140.20,"2021-08-13 16:15:03"
"Arthur J. Gallagher",140.27,"2021-08-16 09:45:02"
"Arthur J. Gallagher",141.00,"2021-08-16 11:00:02"
"Arthur J. Gallagher",141.49,"2021-08-16 12:00:03"
"Arthur J. Gallagher",142.18,"2021-08-16 13:00:03"
"Arthur J. Gallagher",142.53,"2021-08-16 14:00:03"
"Arthur J. Gallagher",143.18,"2021-08-16 15:00:03"
"Arthur J. Gallagher",142.91,"2021-08-16 15:45:02"
"Arthur J. Gallagher",142.93,"2021-08-16 16:15:03"
"Arthur J. Gallagher",142.11,"2021-08-17 09:45:02"
"Arthur J. Gallagher",141.64,"2021-08-17 11:00:03"
"Arthur J. Gallagher",141.69,"2021-08-17 12:00:03"
"Arthur J. Gallagher",141.28,"2021-08-17 13:00:03"
"Arthur J. Gallagher",141.36,"2021-08-17 14:00:03"
"Arthur J. Gallagher",141.43,"2021-08-17 15:00:04"
"Arthur J. Gallagher",141.46,"2021-08-17 15:45:03"
"Arthur J. Gallagher",141.70,"2021-08-17 16:15:02"
"Arthur J. Gallagher",141.26,"2021-08-18 09:45:02"
"Arthur J. Gallagher",141.60,"2021-08-18 11:00:03"
"Arthur J. Gallagher",141.72,"2021-08-18 12:00:03"
"Arthur J. Gallagher",141.50,"2021-08-18 13:00:02"
"Arthur J. Gallagher",141.80,"2021-08-18 14:00:02"
"Arthur J. Gallagher",142.03,"2021-08-18 15:00:04"
"Arthur J. Gallagher",142.05,"2021-08-18 15:45:03"
"Arthur J. Gallagher",141.13,"2021-08-18 16:15:03"
"Arthur J. Gallagher",141.02,"2021-08-19 09:45:02"
"Arthur J. Gallagher",141.90,"2021-08-19 11:00:02"
"Arthur J. Gallagher",142.14,"2021-08-19 12:00:03"
"Arthur J. Gallagher",141.98,"2021-08-19 13:00:03"
"Arthur J. Gallagher",141.39,"2021-08-19 14:00:03"
"Arthur J. Gallagher",141.88,"2021-08-19 15:00:02"
"Arthur J. Gallagher",142.05,"2021-08-19 15:45:04"
"Arthur J. Gallagher",142.00,"2021-08-19 16:15:02"
"Arthur J. Gallagher",141.87,"2021-08-20 09:45:02"
"Arthur J. Gallagher",142.12,"2021-08-20 11:00:03"
"Arthur J. Gallagher",143.10,"2021-08-20 12:00:02"
"Arthur J. Gallagher",143.37,"2021-08-20 13:00:02"
"Arthur J. Gallagher",143.61,"2021-08-20 14:00:01"
"Arthur J. Gallagher",143.21,"2021-08-20 15:00:03"
"Arthur J. Gallagher",143.32,"2021-08-20 15:45:03"
"Arthur J. Gallagher",143.00,"2021-08-20 16:15:02"
"Arthur J. Gallagher",143.51,"2021-08-23 09:45:02"
"Arthur J. Gallagher",144.16,"2021-08-23 11:00:03"
"Arthur J. Gallagher",144.23,"2021-08-23 12:00:02"
"Arthur J. Gallagher",144.31,"2021-08-23 13:00:03"
"Arthur J. Gallagher",143.58,"2021-08-23 14:00:03"
"Arthur J. Gallagher",143.56,"2021-08-23 15:00:03"
"Arthur J. Gallagher",143.36,"2021-08-23 15:45:03"
"Arthur J. Gallagher",143.10,"2021-08-23 16:15:08"
"Arthur J. Gallagher",143.09,"2021-08-24 09:45:03"
"Arthur J. Gallagher",143.39,"2021-08-24 11:00:02"
"Arthur J. Gallagher",143.26,"2021-08-24 12:00:02"
"Arthur J. Gallagher",143.30,"2021-08-24 13:00:03"
"Arthur J. Gallagher",143.58,"2021-08-24 14:00:02"
"Arthur J. Gallagher",143.36,"2021-08-24 15:00:02"
"Arthur J. Gallagher",143.39,"2021-08-24 15:45:04"
"Arthur J. Gallagher",143.40,"2021-08-24 16:15:02"
"Arthur J. Gallagher",143.01,"2021-08-25 09:45:03"
"Arthur J. Gallagher",142.29,"2021-08-25 11:00:02"
"Arthur J. Gallagher",142.84,"2021-08-25 12:00:02"
"Arthur J. Gallagher",143.36,"2021-08-25 13:00:03"
"Arthur J. Gallagher",143.13,"2021-08-25 14:00:04"
"Arthur J. Gallagher",143.16,"2021-08-25 15:00:03"
"Arthur J. Gallagher",143.20,"2021-08-25 15:45:03"
"Arthur J. Gallagher",142.91,"2021-08-25 16:15:08"
"Arthur J. Gallagher",142.60,"2021-08-26 09:45:03"
"Arthur J. Gallagher",142.50,"2021-08-26 11:00:02"
"Arthur J. Gallagher",142.88,"2021-08-26 12:00:03"
"Arthur J. Gallagher",142.85,"2021-08-26 13:00:02"
"Arthur J. Gallagher",142.93,"2021-08-26 14:00:02"
"Arthur J. Gallagher",142.99,"2021-08-26 15:00:03"
"Arthur J. Gallagher",142.83,"2021-08-26 15:45:03"
"Arthur J. Gallagher",142.74,"2021-08-26 16:15:02"
"Arthur J. Gallagher",142.81,"2021-08-27 09:45:02"
"Arthur J. Gallagher",143.57,"2021-08-27 11:00:03"
"Arthur J. Gallagher",143.36,"2021-08-27 12:00:03"
"Arthur J. Gallagher",143.39,"2021-08-27 13:00:02"
"Arthur J. Gallagher",143.35,"2021-08-27 14:00:03"
"Arthur J. Gallagher",143.33,"2021-08-27 15:00:03"
"Arthur J. Gallagher",143.57,"2021-08-27 15:45:02"
"Arthur J. Gallagher",143.76,"2021-08-27 16:15:03"
"Arthur J. Gallagher",143.98,"2021-08-30 09:45:03"
"Arthur J. Gallagher",144.20,"2021-08-30 11:00:02"
"Arthur J. Gallagher",144.46,"2021-08-30 12:00:03"
"Arthur J. Gallagher",144.24,"2021-08-30 13:00:02"
"Arthur J. Gallagher",144.10,"2021-08-30 14:00:02"
"Arthur J. Gallagher",144.03,"2021-08-30 15:00:02"
"Arthur J. Gallagher",143.67,"2021-08-30 15:45:02"
"Arthur J. Gallagher",143.45,"2021-08-30 16:15:03"
"Arthur J. Gallagher",143.27,"2021-08-31 09:45:04"
"Arthur J. Gallagher",144.27,"2021-08-31 11:00:03"
"Arthur J. Gallagher",144.21,"2021-08-31 12:00:03"
"Arthur J. Gallagher",144.14,"2021-08-31 13:00:02"
"Arthur J. Gallagher",143.98,"2021-08-31 14:00:02"
"Arthur J. Gallagher",143.92,"2021-08-31 15:00:03"
"Arthur J. Gallagher",143.73,"2021-08-31 15:45:02"
"Arthur J. Gallagher",143.62,"2021-08-31 16:15:08"
"Arthur J. Gallagher",143.08,"2021-09-01 09:45:02"
"Arthur J. Gallagher",143.46,"2021-09-01 11:00:03"
"Arthur J. Gallagher",144.14,"2021-09-01 12:00:02"
"Arthur J. Gallagher",144.50,"2021-09-01 13:00:01"
"Arthur J. Gallagher",144.55,"2021-09-01 14:00:03"
"Arthur J. Gallagher",144.68,"2021-09-01 15:00:03"
"Arthur J. Gallagher",144.70,"2021-09-01 15:45:02"
"Arthur J. Gallagher",144.44,"2021-09-01 16:15:02"
"Arthur J. Gallagher",144.88,"2021-09-02 09:45:03"
"Arthur J. Gallagher",144.98,"2021-09-02 11:00:02"
"Arthur J. Gallagher",144.95,"2021-09-02 12:00:02"
"Arthur J. Gallagher",145.47,"2021-09-02 13:00:02"
"Arthur J. Gallagher",145.35,"2021-09-02 14:00:02"
"Arthur J. Gallagher",145.38,"2021-09-02 15:00:02"
"Arthur J. Gallagher",145.38,"2021-09-02 15:45:02"
"Arthur J. Gallagher",145.82,"2021-09-02 16:15:02"
"Arthur J. Gallagher",145.47,"2021-09-03 09:45:02"
"Arthur J. Gallagher",146.10,"2021-09-03 11:00:03"
"Arthur J. Gallagher",145.89,"2021-09-03 12:00:03"
"Arthur J. Gallagher",145.76,"2021-09-03 13:00:03"
"Arthur J. Gallagher",146.05,"2021-09-03 14:00:02"
"Arthur J. Gallagher",145.99,"2021-09-03 15:00:03"
"Arthur J. Gallagher",145.85,"2021-09-03 15:45:03"
"Arthur J. Gallagher",145.49,"2021-09-03 16:15:02"
"Arthur J. Gallagher",145.80,"2021-09-06 09:45:02"
"Arthur J. Gallagher",145.80,"2021-09-06 11:00:03"
